Transaction_ID,User_ID,Transaction_Type,Amount,Category,Date
1,1943,Deposit,384.61538461538464,Income,2020-01-01
2,1943,Withdrawal,674.0581765085857,Travel,2020-01-08
3,1943,Withdrawal,329.0425134137155,Dining Out,2020-01-15
4,1943,Withdrawal,434.0313700881939,Utilities,2020-01-22
5,1943,Deposit,384.61538461538464,Income,2020-01-29
6,1943,Withdrawal,87.43347513623532,Entertainment,2020-02-05
7,1943,Withdrawal,1194.2153976182237,Groceries,2020-02-12
8,1943,Withdrawal,129.4948611988827,Savings,2020-02-19
9,1943,Deposit,384.61538461538464,Income,2020-02-26
10,1943,Withdrawal,83.93140523029723,Dining Out,2020-03-04
11,1943,Withdrawal,1081.1829513862986,Rent,2020-03-11
12,1943,Withdrawal,768.5576811824087,Utilities,2020-03-18
13,1943,Deposit,384.61538461538464,Income,2020-03-25
14,1943,Withdrawal,158.70043400770498,Rent,2020-04-01
15,1943,Withdrawal,421.1872715944706,Utilities,2020-04-08
16,1943,Withdrawal,247.96141067651163,Groceries,2020-04-15
17,1943,Deposit,384.61538461538464,Income,2020-04-22
18,1943,Withdrawal,448.9108358086177,Travel,2020-04-29
19,1943,Withdrawal,659.1884493031313,Travel,2020-05-06
20,1943,Withdrawal,421.4862639803584,Dining Out,2020-05-13
21,1943,Deposit,384.61538461538464,Income,2020-05-20
22,1943,Withdrawal,402.8582133905079,Savings,2020-05-27
23,1943,Withdrawal,759.9672966739136,Utilities,2020-06-03
24,1943,Withdrawal,782.4517491195273,Dining Out,2020-06-10
25,1943,Deposit,384.61538461538464,Income,2020-06-17
26,1943,Withdrawal,782.0444136007001,Savings,2020-06-24
27,1943,Withdrawal,148.69425644532217,Entertainment,2020-07-01
28,1943,Withdrawal,761.3895376182779,Rent,2020-07-08
29,1943,Deposit,384.61538461538464,Income,2020-07-15
30,1943,Withdrawal,999.8653465321211,Groceries,2020-07-22
31,1943,Withdrawal,118.61072598043422,Entertainment,2020-07-29
32,1943,Withdrawal,422.35008497773526,Utilities,2020-08-05
33,1943,Deposit,384.61538461538464,Income,2020-08-12
34,1943,Withdrawal,106.44702869276881,Entertainment,2020-08-19
35,1943,Withdrawal,131.178192817988,Dining Out,2020-08-26
36,1943,Withdrawal,405.134741113549,Entertainment,2020-09-02
37,1943,Deposit,384.61538461538464,Income,2020-09-09
38,1943,Withdrawal,124.36085374111458,Dining Out,2020-09-16
39,1943,Withdrawal,91.84528023440892,Groceries,2020-09-23
40,1943,Withdrawal,124.3824473543265,Savings,2020-09-30
41,1943,Deposit,384.61538461538464,Income,2020-10-07
42,1943,Withdrawal,100.57625824873926,Travel,2020-10-14
43,1943,Withdrawal,74.12616322632053,Rent,2020-10-21
44,1943,Withdrawal,660.6380477926523,Travel,2020-10-28
45,1943,Deposit,384.61538461538464,Income,2020-11-04
46,1943,Withdrawal,749.8244774199784,Groceries,2020-11-11
47,1943,Withdrawal,527.658671983213,Dining Out,2020-11-18
48,1943,Withdrawal,117.08147836840459,Dining Out,2020-11-25
49,1943,Deposit,384.61538461538464,Income,2020-12-02
50,1943,Withdrawal,133.77546772959772,Groceries,2020-12-09
51,1943,Withdrawal,676.582325091621,Savings,2020-12-16
52,1943,Withdrawal,164.99125042337917,Travel,2020-12-23
53,1943,Deposit,384.61538461538464,Income,2020-12-30
54,1943,Withdrawal,156.8281539760535,Groceries,2021-01-06
55,1943,Withdrawal,113.73422519516066,Travel,2021-01-13
56,1943,Withdrawal,136.04644585644746,Rent,2021-01-20
57,1943,Deposit,384.61538461538464,Income,2021-01-27
58,1943,Withdrawal,719.5508711931985,Savings,2021-02-03
59,1943,Withdrawal,228.31822857624937,Rent,2021-02-10
60,1943,Withdrawal,332.8411011019304,Groceries,2021-02-17
61,1943,Deposit,384.61538461538464,Income,2021-02-24
62,1943,Withdrawal,238.84395153851437,Dining Out,2021-03-03
63,1943,Withdrawal,57.911697280004674,Travel,2021-03-10
64,1943,Withdrawal,405.59078481185736,Savings,2021-03-17
65,1943,Deposit,384.61538461538464,Income,2021-03-24
66,1943,Withdrawal,192.39745864362064,Groceries,2021-03-31
67,1943,Withdrawal,777.4231689361178,Savings,2021-04-07
68,1943,Withdrawal,121.62469922985517,Rent,2021-04-14
69,1943,Deposit,384.61538461538464,Income,2021-04-21
70,1943,Withdrawal,194.90177089268428,Utilities,2021-04-28
71,1943,Withdrawal,446.5941751003828,Entertainment,2021-05-05
72,1943,Withdrawal,218.55214722936014,Savings,2021-05-12
73,1943,Deposit,384.61538461538464,Income,2021-05-19
74,1943,Withdrawal,471.2097624111947,Savings,2021-05-26
75,1943,Withdrawal,217.4427337168337,Entertainment,2021-06-02
76,1943,Withdrawal,146.083998176392,Dining Out,2021-06-09
77,1943,Deposit,384.61538461538464,Income,2021-06-16
78,1943,Withdrawal,1122.212239696812,Dining Out,2021-06-23
79,1943,Withdrawal,485.26082691831033,Groceries,2021-06-30
80,1943,Withdrawal,175.58613571573306,Dining Out,2021-07-07
81,1943,Deposit,384.61538461538464,Income,2021-07-14
82,1943,Withdrawal,338.5920411661551,Rent,2021-07-21
83,1943,Withdrawal,639.6159875650108,Savings,2021-07-28
84,1943,Withdrawal,586.842109173793,Dining Out,2021-08-04
85,1943,Deposit,384.61538461538464,Income,2021-08-11
86,1943,Withdrawal,279.93496863755297,Entertainment,2021-08-18
87,1943,Withdrawal,154.0009526893547,Utilities,2021-08-25
88,1943,Withdrawal,249.0074764953687,Entertainment,2021-09-01
